process_number,elapsed_time,speed_up,efficiency
1,2423.545840,0,0
2,1394.153146,1.738364,0.869182
3,677.236358,3.578582,1.192861
4,598.389660,4.050113,1.012528
5,478.363283,5.066329,1.013266
6,426.466944,5.682846,0.947141
7,319.710045,7.580449,1.082921
8,320.454978,7.562828,0.945353
9,264.074668,9.177502,1.019722
10,221.904613,10.921566,1.092157
11,234.805848,10.321488,0.938317
12,234.468519,10.336338,0.861361
13,204.097680,11.874441,0.913419
14,208.640259,11.615907,0.829708
15,182.596180,13.272708,0.884847
16,184.220080,13.155709,0.822232